subfolder,candidate_file,mcc_norm,energy
37,structure_51.bpseq,0.419578,-23.772570
37,structure_55.bpseq,0.508609,-23.417640
38,structure_10.bpseq,0.458541,-15.478800
38,structure_12.bpseq,0.649542,-17.809860
38,structure_21.bpseq,0.530629,-20.063870
38,structure_3.bpseq,0.552048,-16.516806
38,structure_61.bpseq,0.357036,-28.868100
38,structure_64.bpseq,0.602572,-20.724600
38,structure_66.bpseq,0.437172,-32.038000
38,structure_7.bpseq,0.544217,-18.029640
38,structure_74.bpseq,0.304712,-28.526300
38,structure_78.bpseq,0.383243,-32.025200
39,structure_1.bpseq,0.664888,-8.558290
39,structure_19.bpseq,0.461981,-19.138110
39,structure_27.bpseq,0.472985,-20.022640
39,structure_34.bpseq,0.672768,-24.872930
39,structure_37.bpseq,0.704028,-20.732080
39,structure_40.bpseq,0.472985,-26.521500
39,structure_45.bpseq,0.461981,-19.707890
39,structure_50.bpseq,0.229969,-24.662960
39,structure_60.bpseq,0.223493,-34.801700
39,structure_7.bpseq,0.583237,-17.666920
40,structure_17.bpseq,0.548760,-22.240470
40,structure_19.bpseq,0.559510,-21.507570
40,structure_25.bpseq,0.451941,-21.787170
40,structure_29.bpseq,0.577165,-24.487070
40,structure_31.bpseq,0.629855,-24.733170
40,structure_5.bpseq,0.527183,-21.583570
40,structure_53.bpseq,0.431089,-23.744770
40,structure_58.bpseq,0.230896,-19.243850
40,structure_62.bpseq,0.276546,-21.813070
40,structure_8.bpseq,0.427636,-19.186260
41,structure_17.bpseq,0.284158,-18.413070
41,structure_19.bpseq,0.554078,-16.878260
41,structure_2.bpseq,0.276900,-14.840140
41,structure_23.bpseq,0.465441,-16.726290
41,structure_29.bpseq,0.476172,-19.371270
41,structure_38.bpseq,0.475586,-19.437440
41,structure_4.bpseq,0.272520,-13.774700
41,structure_44.bpseq,0.246660,-24.617600
41,structure_50.bpseq,0.487934,-23.199000
41,structure_9.bpseq,0.254096,-17.336160
42,structure_14.bpseq,0.310488,-17.173470
42,structure_20.bpseq,0.460930,-19.812430
42,structure_29.bpseq,0.279656,-15.341910
42,structure_32.bpseq,0.388931,-24.203930
42,structure_36.bpseq,0.266707,-19.369930
42,structure_38.bpseq,0.338378,-19.136330
42,structure_43.bpseq,0.305396,-21.447730
42,structure_47.bpseq,0.303784,-24.373830
42,structure_5.bpseq,0.455231,-14.826380
42,structure_7.bpseq,0.243679,-16.043730
43,structure_1.bpseq,0.537222,-16.482572
43,structure_11.bpseq,0.534947,-16.034605
43,structure_21.bpseq,0.647974,-15.317650
43,structure_30.bpseq,0.450182,-23.618340
43,structure_39.bpseq,0.660830,-16.422034
43,structure_54.bpseq,0.543178,-26.791800
43,structure_60.bpseq,0.510490,-19.833950
43,structure_63.bpseq,0.548176,-22.707130
43,structure_68.bpseq,0.515899,-20.983520
43,structure_76.bpseq,0.515550,-23.029540
44,structure_52.bpseq,0.502568,-31.765670
44,structure_55.bpseq,0.475973,-27.707900
44,structure_60.bpseq,0.506681,-23.013173
44,structure_66.bpseq,0.482166,-25.182660
44,structure_70.bpseq,0.505852,-36.264700
44,structure_76.bpseq,0.518164,-32.142120
44,structure_78.bpseq,0.260031,-35.405300
44,structure_88.bpseq,0.497716,-32.987500
44,structure_90.bpseq,0.372492,-31.256850
44,structure_98.bpseq,0.461745,-34.913100
45,structure_16.bpseq,0.500000,-21.619820
45,structure_19.bpseq,0.430136,-27.758460
45,structure_36.bpseq,0.435911,-23.913600
45,structure_39.bpseq,0.429514,-28.465030
45,structure_44.bpseq,0.487484,-26.275890
45,structure_47.bpseq,0.472936,-28.215510
45,structure_49.bpseq,0.562246,-27.383920
45,structure_67.bpseq,0.579382,-23.597230
45,structure_73.bpseq,0.422702,-26.001430
45,structure_81.bpseq,0.505902,-22.145140
46,structure_100.bpseq,0.239475,-32.794500
46,structure_20.bpseq,0.506301,-23.333920
46,structure_27.bpseq,0.426791,-26.003370
46,structure_40.bpseq,0.267944,-22.410010
46,structure_42.bpseq,0.484256,-26.560420
46,structure_44.bpseq,0.423118,-23.495810
46,structure_54.bpseq,0.433006,-22.411810
46,structure_59.bpseq,0.369612,-27.932300
46,structure_82.bpseq,0.463527,-28.141280
46,structure_85.bpseq,0.398393,-26.866940
47,structure_18.bpseq,0.507865,-18.137510
47,structure_26.bpseq,0.549930,-18.297740
47,structure_43.bpseq,0.296581,-21.507230
47,structure_45.bpseq,0.521688,-23.325200
47,structure_48.bpseq,0.282521,-16.901860
47,structure_59.bpseq,0.299365,-26.165900
47,structure_62.bpseq,0.519048,-19.581460
47,structure_67.bpseq,0.652137,-20.079160
47,structure_73.bpseq,0.295733,-27.929200
47,structure_9.bpseq,0.484248,-18.194370
48,structure_10.bpseq,0.578480,-15.755710
48,structure_12.bpseq,0.590191,-15.957600
48,structure_18.bpseq,0.196716,-22.187920
48,structure_27.bpseq,0.443652,-25.696650
48,structure_29.bpseq,0.430852,-23.540240
48,structure_37.bpseq,0.520231,-18.901770
48,structure_44.bpseq,0.420938,-22.974380
48,structure_46.bpseq,0.648876,-23.349530
48,structure_55.bpseq,0.198235,-19.297040
48,structure_7.bpseq,0.499728,-17.827182
49,structure_12.bpseq,0.471899,-24.632500
49,structure_20.bpseq,0.481558,-26.716100
49,structure_3.bpseq,0.484684,-26.722200
49,structure_30.bpseq,0.479467,-28.138100
49,structure_42.bpseq,0.500830,-27.646800
49,structure_47.bpseq,0.466949,-22.394050
49,structure_59.bpseq,0.436953,-23.271940
49,structure_75.bpseq,0.247992,-22.861410
49,structure_80.bpseq,0.414964,-23.936700
49,structure_85.bpseq,0.391848,-21.171860
50,structure_20.bpseq,0.393273,-21.738650
50,structure_23.bpseq,0.394241,-20.231650
50,structure_26.bpseq,0.381647,-24.982470
50,structure_28.bpseq,0.345797,-20.432340
50,structure_4.bpseq,0.566679,-12.843050
50,structure_48.bpseq,0.376557,-28.778900
50,structure_52.bpseq,0.531059,-24.261790
50,structure_55.bpseq,0.455705,-28.142700
50,structure_6.bpseq,0.497676,-17.013495
50,structure_8.bpseq,0.361583,-18.721210
51,structure_21.bpseq,0.272284,-18.460700
51,structure_38.bpseq,0.477824,-24.809200
51,structure_56.bpseq,0.483529,-24.063480
51,structure_59.bpseq,0.555536,-22.049120
51,structure_6.bpseq,0.643276,-23.646210
51,structure_63.bpseq,0.366027,-25.684400
51,structure_73.bpseq,0.483529,-27.981400
51,structure_75.bpseq,0.380021,-28.714600
51,structure_77.bpseq,0.262560,-26.010900
51,structure_84.bpseq,0.295071,-27.681000
52,structure_12.bpseq,0.438430,-23.546630
52,structure_24.bpseq,0.227375,-19.426660
52,structure_37.bpseq,0.626958,-20.054110
52,structure_39.bpseq,0.545342,-21.587300
52,structure_41.bpseq,0.442663,-21.811090
52,structure_52.bpseq,0.498567,-27.823600
52,structure_60.bpseq,0.333592,-19.945470
52,structure_64.bpseq,0.270584,-20.152540
52,structure_67.bpseq,0.272068,-19.821730
52,structure_73.bpseq,0.264616,-19.631290
53,structure_14.bpseq,0.415546,-23.514630
53,structure_2.bpseq,0.590464,-19.078560
53,structure_36.bpseq,0.407371,-25.970900
53,structure_48.bpseq,0.403976,-22.936580
53,structure_54.bpseq,0.567058,-22.541960
53,structure_60.bpseq,0.554533,-22.520230
53,structure_76.bpseq,0.605164,-30.059300
53,structure_84.bpseq,0.447582,-26.445200
53,structure_90.bpseq,0.445372,-29.595800
53,structure_95.bpseq,0.419505,-28.438800
54,structure_11.bpseq,0.349175,-26.501000
54,structure_16.bpseq,0.222806,-21.337440
54,structure_34.bpseq,0.450226,-22.563690
54,structure_38.bpseq,0.227569,-28.380800
54,structure_5.bpseq,0.570518,-22.571540
54,structure_52.bpseq,0.306490,-26.087800
54,structure_68.bpseq,0.235585,-24.959200
54,structure_70.bpseq,0.379662,-28.143200
54,structure_76.bpseq,0.391886,-27.865600
54,structure_9.bpseq,0.553160,-21.280580
55,structure_24.bpseq,0.220545,-18.549080
55,structure_27.bpseq,0.265206,-15.864400
55,structure_29.bpseq,0.224427,-21.293750
55,structure_35.bpseq,0.198426,-20.996430
55,structure_4.bpseq,0.260064,-20.123660
55,structure_51.bpseq,0.211325,-19.922030
55,structure_62.bpseq,0.274796,-24.834000
55,structure_74.bpseq,0.219235,-25.201700
55,structure_85.bpseq,0.258519,-24.254600
55,structure_9.bpseq,0.220023,-15.745620
56,structure_12.bpseq,0.446186,-32.751000
