subfolder,candidate_file,mcc_norm,energy
31,structure_9.bpseq,0.520633,-15.654030
32,structure_1.bpseq,0.972933,-3.536600
32,structure_10.bpseq,0.583907,-12.011250
32,structure_13.bpseq,0.598404,-11.273780
32,structure_14.bpseq,0.575176,-13.952760
32,structure_15.bpseq,0.444380,-11.708680
32,structure_17.bpseq,0.362775,-19.994350
32,structure_19.bpseq,0.537240,-18.871620
32,structure_3.bpseq,0.605541,-12.027010
32,structure_6.bpseq,0.821537,-9.530180
32,structure_8.bpseq,0.647479,-12.749050
33,structure_1.bpseq,0.556980,-8.570890
33,structure_12.bpseq,0.358981,-14.716510
33,structure_15.bpseq,0.372711,-15.534800
33,structure_17.bpseq,0.740554,-11.010980
33,structure_19.bpseq,0.364394,-16.799070
33,structure_21.bpseq,0.583090,-17.217870
33,structure_3.bpseq,0.824596,-9.575730
33,structure_5.bpseq,0.443981,-8.456830
33,structure_7.bpseq,0.449082,-7.853650
33,structure_9.bpseq,0.639104,-11.005470
34,structure_1.bpseq,0.844746,-7.724300
34,structure_11.bpseq,0.581567,-13.922810
34,structure_13.bpseq,0.430823,-17.996670
34,structure_14.bpseq,0.414928,-17.123530
34,structure_15.bpseq,0.415078,-18.535850
34,structure_2.bpseq,0.945840,-5.263790
34,structure_3.bpseq,0.597034,-6.679250
34,structure_4.bpseq,0.670419,-10.669490
34,structure_6.bpseq,0.676190,-10.837440
34,structure_9.bpseq,0.640065,-12.964785
35,structure_11.bpseq,0.638144,-12.311910
35,structure_14.bpseq,0.471899,-16.734170
35,structure_17.bpseq,0.620101,-16.309100
35,structure_2.bpseq,0.472688,-9.191940
35,structure_20.bpseq,0.235560,-16.128230
35,structure_22.bpseq,0.616123,-18.462440
35,structure_24.bpseq,0.470254,-15.658150
35,structure_4.bpseq,0.472688,-11.517210
35,structure_7.bpseq,0.651220,-9.200600
35,structure_9.bpseq,0.492054,-10.467000
36,structure_1.bpseq,0.973381,-3.443000
36,structure_12.bpseq,0.592656,-7.604030
36,structure_14.bpseq,0.641453,-10.142970
36,structure_16.bpseq,0.636002,-9.675410
36,structure_18.bpseq,0.645597,-12.283900
36,structure_2.bpseq,0.409606,-11.772220
36,structure_20.bpseq,0.607774,-12.107940
36,structure_4.bpseq,0.573966,-13.405930
36,structure_6.bpseq,0.729532,-4.423900
36,structure_9.bpseq,0.613385,-10.009040
